"County","State","Trump_Votes","Trump_Percent","Biden_Votes","Biden_Percent","Other_Votes","Other_Percent","Total_Votes"
"Utah","Utah",192812,66.69,76033,26.3,10377,3.59,289101
"Wasatch","Utah",10795,60.68,6187,34.78,352,1.98,17790
"Washington","Utah",67294,73.82,20530,22.52,1742,1.91,91160
"Wayne","Utah",1229,75.4,365,22.39,9,0.55,1630
"Weber","Utah",65949,58.54,40695,36.13,2849,2.53,112649
"Addison","Vermont",6292,28.57,14967,67.96,763,3.47,22022
"Bennington","Vermont",7114,34.77,12705,62.09,643,3.14,20462
"Caledonia","Vermont",6551,40.52,9011,55.73,607,3.75,16169
"Chittenden","Vermont",21017,21.25,74961,75.78,2937,2.97,98915
"Essex","Vermont",1773,53.92,1405,42.73,110,3.35,3288
"Franklin","Vermont",11274,43.65,13611,52.69,945,3.66,25830
"Grand Isle","Vermont",1810,37.31,2905,59.88,763,2.81,4851
"Lamoille","Vermont",4163,27.91,10240,68.66,512,3.43,14915
"Orange","Vermont",6187,36.13,10304,60.18,631,3.69,17122
"Orleans","Vermont",6512,46.2,7147,50.7,437,3.1,14096
"Rutland","Vermont",14672,43.19,18230,53.66,1068,3.15,33970
"Washington","Vermont",8928,25.29,25191,71.35,1188,3.36,35307
"Windham","Vermont",6440,24.74,18767,72.08,828,3.18,26035
"Windsor","Vermont",9971,28.95,23376,67.86,1099,3.19,34446
"Accomack","Virginia",9172,54.07,7578,44.68,212,1.25,16962
"Albemarle","Virginia",20804,32.18,42466,65.68,1387,2.14,64657
"Alexandria","Virginia",14544,17.63,66240,80.28,1724,2.09,82508
"Alleghany","Virginia",5859,71.43,2243,27.34,101,1.23,8203
"Amelia","Virginia",5390,68.29,2411,30.55,92,1.16,7893
"Amherst","Virginia",11041,64.93,5672,33.35,292,1.72,17005
"Appomattox","Virginia",6702,72.31,2418,26.09,148,1.6,9268
"Arlington","Virginia",22318,17.08,105344,80.6,3037,2.32,130699
"Augusta","Virginia",30714,72.65,10840,25.64,724,1.71,42278
"Bath","Virginia",1834,73.33,646,25.83,21,0.84,2501
"Bedford","Virginia",35600,73.15,12176,25.02,893,1.83,48669
"Bland","Virginia",2903,83.44,532,15.29,44,1.27,3479
"Botetourt","Virginia",15099,71.49,5700,26.99,321,1.52,21120
"Bristol","Virginia",5347,68.5,2313,29.63,146,1.87,7806
"Brunswick","Virginia",3357,42.24,4552,57.27,39,0.49,7948
"Buchanan","Virginia",8311,83.5,1587,15.94,55,0.56,9953
"Buckingham","Virginia",4544,55.92,3471,42.71,111,1.37,8126
"Buena Vista","Virginia",1863,67.11,825,29.72,88,3.17,2776
"Campbell","Virginia",21245,71.07,8070,27,577,1.93,29892
